"Hormone","Mean_Group0","SD_Group0","Median_Group0","Mean_Group1","SD_Group1","Median_Group1","Shapiro_Group0_p","Shapiro_Group1_p","Levene_p","Brunner_Munzel_p","T_test_p","Wilcox_p","Applicable_Test"
"record_id",1340.61499493414,746.355041226339,1299,1083.9875,702.115733328503,942.5,2.53502431237686e-17,1.27608709950702e-05,0.142107970718787,5.89180307413173e-05,3.1458209299201e-05,9.13299071803399e-05,"wilcox.test / brunner.munzel.test"
"factor_eth",1.44984802431611,0.660588186185491,1,1.525,0.643789879390032,1,5.55361420737358e-40,4.71759166816387e-16,0.180650551494406,0.0760051296537867,0.173761077590165,0.072931178286086,"wilcox.test / brunner.munzel.test"
"factor_h",0.202051282051282,0.401736346156659,0,0.144654088050314,0.352863117352342,0,3.65577573712422e-46,1.53458081012044e-22,0.0898233075498546,0.0636572066415886,0.0636572066415882,0.0898508362336561,"wilcox.test / brunner.munzel.test"
"factor_pcos",2.6241610738255,1.21631093812571,3,2.375,1.02469507659596,2,1.61981486093745e-12,0.0259573579566794,0.148458315785496,0.360778053561735,0.375569169569015,0.413640299350152,"wilcox.test / brunner.munzel.test"
"factor_prl",0.0657084188911704,0.247899005541726,0,0.0754716981132075,0.264985545612977,0,5.72887571257594e-52,1.63397654517482e-24,0.648525954885243,0.664320125661479,0.664320125661482,0.648540577013835,"wilcox.test / brunner.munzel.test"
"hormone1",1.82377912867275,1.57991019715845,1.5,1.658125,0.86245750054804,1.5,6.22667854120688e-44,1.39750626097963e-09,0.0868145595511809,0.749962695549951,0.0513232516326379,0.758674647091452,"wilcox.test / brunner.munzel.test"
"hormone2",375.147922998987,255.410877672249,312,411.95625,270.885697235903,365.5,8.29293669301867e-37,6.28905932234182e-17,0.978745190382587,0.0035906099235683,0.109600408622951,0.0054033104408002,"wilcox.test / brunner.munzel.test"
"hormone3",8.99088145896657,11.5823481634267,5.6,9.910625,11.7903734150915,6.05,6.06124444965423e-44,1.23041562144367e-18,0.577394171735516,0.130675772055556,0.359888915561834,0.13458611419321,"wilcox.test / brunner.munzel.test"
"hormone4",7.50770010131712,10.9218764352731,5.5,9.40125,13.435599887598,5.5,7.42278073633913e-50,9.16861632969242e-22,0.0629730115520478,0.16351438119741,0.0918149993880867,0.148206360145323,"wilcox.test / brunner.munzel.test"
"hormone5",335.607638297872,332.255049832313,274.898,276.44851875,235.444634137947,250,4.15373688018784e-44,2.31557277804895e-18,0.165270038732849,0.00304093494991498,0.00610864494279907,0.00371746317403209,"wilcox.test / brunner.munzel.test"
"hormone6",78.8897568389058,53.9886227303693,64.5,75.754375,48.6841221993773,68.7,1.76672110187259e-28,3.11899210039457e-09,0.533647649065393,0.817298819740551,0.457732101145281,0.815988582084597,"wilcox.test / brunner.munzel.test"
"hormone7",5.62522796352584,3.89884804120212,5.1,5.65,3.96964900306654,5.1,1.20500879444575e-31,7.72000160074528e-13,0.798758062349121,0.921978744527853,0.941553881889209,0.920581266027151,"wilcox.test / brunner.munzel.test"
"hormone8",180.020364741641,87.2303239271923,166,153.7625,70.9638102027404,142.5,6.2123767878178e-21,6.39802662260775e-05,0.0709681240692671,0.000382667479178256,3.82534228246106e-05,0.00038398765876213,"wilcox.test / brunner.munzel.test"
"hormone10_generated",0.761721655894864,8.29828563519786,0.427,0.508252504512635,0.36564639137398,0.4555,4.74476729579266e-57,2.1989959706419e-15,0.690882821447366,0.788607618019903,0.340354791958197,0.790516746454749,"wilcox.test / brunner.munzel.test"
"lipids1",0.957304964539007,0.387210902700395,0.91,0.984625,0.370435554449084,0.98,4.13391608262244e-17,0.0109264808963163,0.886550215226046,0.216713978454889,0.390816424696354,0.215783209422431,"wilcox.test / brunner.munzel.test"
"lipids2",4.46140830800405,0.910692368872158,4.33,4.7635625,0.962299621795061,4.63,4.14276682077291e-14,3.00568482699426e-05,0.682463812882695,0.000167581803144135,0.000264632598286348,0.000239789859609383,"wilcox.test / brunner.munzel.test"
"lipids3",1.10424518743668,0.276740138256729,1.06,1.115,0.266455891543731,1.09,1.6228363652319e-11,0.001662893785569,0.557699089252874,0.570757175322261,0.63809299391822,0.577750950374241,"wilcox.test / brunner.munzel.test"
"lipids4",2.92795339412361,0.874513058280767,2.81,3.1979375,0.944966870322071,3.125,2.45574360950252e-15,0.000259523585799743,0.169396576767632,0.00075111623840951,0.000848089633968993,0.000663853935748565,"wilcox.test / brunner.munzel.test"
"lipids5",0.430837837837838,0.178565478074952,0.41,0.446893939393939,0.173196850348447,0.445,7.91212343110341e-16,0.0170702615734364,0.896865035847343,0.187568919450892,0.3300830795132,0.182984158877002,"wilcox.test / brunner.munzel.test"
"сarb_metabolism",4.89506585612969,0.806569546151011,4.8,4.8600625,0.707654018504566,4.8,1.10766199850407e-19,0.523348906406632,0.419727771716282,0.968512802747229,0.570141208608071,0.969010428798802,"wilcox.test / brunner.munzel.test"
"lipid_pero1",2.06821681864235,0.803365803479091,1.97,2.1810625,0.83561870037798,1.995,1.22885829841283e-13,0.00439388004063274,0.316079818280514,0.126684964380086,0.112665436323361,0.118963092432131,"wilcox.test / brunner.munzel.test"
"lipid_pero2",1.38390070921986,0.569733294307519,1.3,1.4482875,0.616235103663708,1.255,1.7991347106803e-16,4.56940588126122e-05,0.183785832399146,0.317856021074322,0.216906369811925,0.304376316844923,"wilcox.test / brunner.munzel.test"
"lipid_pero3",0.68161094224924,0.373884193384397,0.59,0.75525,0.421248443999888,0.64,4.47966980841755e-22,1.84674646792432e-07,0.0378252309866626,0.0660233813374189,0.0385813741297381,0.0583497262262915,"wilcox.test / brunner.munzel.test"
"lipid_pero4",1.43188449848024,0.80264806083785,1.32,1.49525,0.706444681521713,1.395,5.18457816753539e-36,1.51475628519942e-05,0.852226828626084,0.249980081760684,0.303269410531265,0.2474728815868,"wilcox.test / brunner.munzel.test"
"lipid_pero5",11.8791691995947,3.60867294228853,11.66,11.7644375,3.28265955737937,11.96,1.95858655136001e-08,0.274454364040452,0.0768164067506964,0.853671948251693,0.686398091497026,0.859098789552943,"wilcox.test / brunner.munzel.test"
"antioxidant1",1.62109422492401,0.189156390851275,1.63,1.6220625,0.163956954294825,1.62,1.75336492494693e-09,0.123152705844171,0.0249542309446187,0.797668269796794,0.946043375508989,0.80967439187947,"wilcox.test / brunner.munzel.test"
"antioxidant2",2.34646403242148,0.465938777844189,2.31,2.3005,0.448193859673531,2.275,4.65405363808475e-09,0.00260842144858204,0.632193454200621,0.226564402391986,0.232750903449641,0.226717279937549,"wilcox.test / brunner.munzel.test"
"antioxidant3",1.97630192502533,0.369307781327759,1.96,1.94775,0.356525775969729,1.895,1.76800286302886e-07,0.00104327172855805,0.42394867495779,0.226391214230763,0.350855755318439,0.231038738528819,"wilcox.test / brunner.munzel.test"
"antioxidant4",7.73222897669706,3.14639813007709,7.16,8.5661875,3.11654801614698,8.32,2.36748039222823e-19,0.000569340682778652,0.996923777825655,0.000321034364633377,0.00195460349240389,0.000436054917497403,"wilcox.test / brunner.munzel.test"
"antioxidant5",0.680354609929078,0.290754031061696,0.6,0.763625,0.287484180587472,0.71,3.38433998784433e-24,8.29908995617022e-08,0.683678899873367,3.74290567428659e-06,0.000821960420903492,2.18958101840679e-05,"wilcox.test / brunner.munzel.test"
